"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"284","CC","8","8","OR","0","5","A",2011-03-20,2011-03-24,2010-10-29,"FIXED_NA",1959,3,0,0.5,1900-01-01,1900-01-01,0,1,2010-07-20,"","Pacific Northwest","1","CHD","1","K","8",56,"K",0,"1","East Coast","EXISTING",6,7,1959,"1",2010-09-16,2010-09-16,185,185,"Middle","Middle","Middle->Middle","March","K","Middle","K->Middle","C","1",0.107142857,0.857142857,1,"S","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"285","HD","5","7","WA","0","5","A",2011-03-20,2011-03-24,2010-11-01,"FIXED_NA",2074,4,3,0.571,1900-01-01,2010-09-27,2,1,2010-09-24,"","Pacific Northwest","4","Private non-Christian","1","PK","6",52,"I",0,"0","East Coast","NEW",7,8,2074,"1",2010-10-19,2010-10-19,152,152,"Elementary","Middle","Elementary->Middle","March","PK","Middle","PK->Middle","H","0",0.134615385,0.875,1,"S","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"286","HD","7","8","CA","0","5","A",2011-03-20,2011-03-24,2010-11-30,"FIXED_NA",2074,4,0,0.8,1900-01-01,2010-09-29,2,1,2010-09-29,"C","Southern California","4","PUBLIC","1","Other.MDR.Low.Grade","Other.MDR.High.Grade",95,"L",0.4,"0","East Coast","NEW",5,6,2074,"1",2010-10-21,2010-10-21,150,150,"Middle","Middle","Middle->Middle","March","Elementary","Elementary","Other.GroupGradeType","H","0",0.052631579,0.833333333,1,"S","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"287","HD","8","8","CA","0","6","A",2011-03-20,2011-03-25,2010-10-27,"CP",2145,8,4,0.5,2010-04-27,2010-08-30,5,4,2010-01-21,"A","Northern California","5","PUBLIC","1","K","8",250,"Q",0.188,"0","East Coast","EXISTING",16,20,2145,"2",2010-05-13,2010-09-09,311,192,"Middle","Middle","Middle->Middle","March","K","Middle","K->Middle","H","1",0.064,0.8,4,"S","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"288","CD","8","8","FL","0","4","A",2011-03-21,2011-03-24,2010-06-01,"SA",999,0,0,0,2010-04-13,2010-04-13,4,5,2010-03-31,"","Other","10","CHD","0","PK","8",460,"I",0,"1","East Coast","EXISTING",45,50,999,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","C","1",0.097826087,0.9,5,"S-M","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"289","CD","8","8","MA","0","4","B",2011-03-21,2011-03-24,2010-06-01,"SA",769,0,0,0,2010-05-25,2010-05-25,1,8,2010-04-23,"","Other","10","CHD","0","6","12",345,"Q",0,"1","East Coast","EXISTING",29,37,769,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","Middle","High","Middle->High","C","1",0.084057971,0.783783784,8,"S-M","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"290","HD","8","8","CO","0","4","A",2011-03-21,2011-03-24,2010-11-01,"FIXED_NA",1654,9,2,0.643,1900-01-01,2010-09-27,2,1,2010-09-21,"B","Other","10","PUBLIC","1","K","8",773,"P",0.143,"0","East Coast","EXISTING",14,15,1654,"1",2010-10-06,2010-10-06,166,166,"Middle","Middle","Middle->Middle","March","K","Middle","K->Middle","H","1",0.018111255,0.933333333,1,"M-L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"291","SK","8","8","IL","0","5","A",2011-03-21,2011-03-25,2010-11-15,"FIXED_NA",1816,10,1,0.667,2010-02-19,2010-08-09,1,1,2010-01-20,"A","Other","6","PUBLIC","1","6","8",1050,"P",0.2,"0","Science","EXISTING",15,16,1816,"2",2010-05-06,2010-09-14,319,188,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","S","1",0.014285714,0.9375,1,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"292","HD","8","8","NE","0","4","A",2011-03-21,2011-03-25,2010-11-05,"FIXED_NA",1726,20,0,0.714,2010-04-13,2010-08-13,0,2,2010-04-08,"B","Other","10","PUBLIC","1","6","8",708,"K",0.321,"0","East Coast","NEW",28,30,1726,"1",2010-09-16,2010-09-16,186,186,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.039548023,0.933333333,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"293","SM","8","8","NM","1","5","A",2011-03-21,2011-03-25,2010-10-15,"FIXED_NA",2305,13,4,0.722,2010-04-29,2010-08-26,5,2,2010-04-30,"C","Other","7","PUBLIC","1","7","8",597,"F",0.167,"0","Science","EXISTING",18,20,2305,"1",2010-08-31,2010-08-31,202,202,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","S","1",0.030150754,0.9,2,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"294","HD","6","9","OR","1","5","A",2011-03-21,2011-03-25,2010-10-01,"FIXED_NA",1827,5,0,0.455,2010-04-14,2010-08-27,3,1,2010-04-14,"C","Pacific Northwest","5","PUBLIC","1","6","8",780,"I",0.364,"0","East Coast","NEW",11,12,1827,"2",2010-09-08,2010-09-22,194,180,"Middle","High","Middle->High","March","Middle","Middle","Middle->Middle","H","0",0.014102564,0.916666667,1,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"295","HD","7","8","CA","1","5","A",2011-03-21,2011-03-25,2010-10-23,"FIXED_NA",1979,22,1,0.815,2010-03-19,2010-08-19,3,4,2010-01-07,"B","Northern California","5","PUBLIC","1","K","Other.MDR.High.Grade",80,"L",0.222,"0","East Coast","EXISTING",27,31,1979,"2",2010-08-31,2010-09-07,202,195,"Middle","Middle","Middle->Middle","March","K","Elementary","K->Elementary","H","0",0.3375,0.870967742,4,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"296","HD","8","8","NE","0","4","A",2011-03-21,2011-03-25,2010-10-15,"FIXED_NA",1656,34,3,0.654,2010-02-18,2010-08-16,4,3,2010-02-18,"B","Other","10","PUBLIC","1","6","8",831,"L",0.327,"0","East Coast","EXISTING",52,55,1656,"1",2010-09-23,2010-09-23,179,179,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.062575211,0.945454545,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"297","HD","8","8","NE","0","5","A",2011-03-21,2011-03-25,2010-10-31,"FIXED_NA",1700,4,1,0.444,2010-04-06,2010-08-11,1,2,2010-04-02,"B","Other","5","CHD","1","6","8",0,"L",0.111,"0","East Coast","EXISTING",9,11,1700,"2",2010-05-13,2010-09-16,312,186,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0,0.818181818,2,"","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"298","ST","7","7","CA","0","5","A",2011-03-21,2011-03-25,2010-10-31,"FR",2141,15,10,1,2010-05-07,2010-09-20,10,4,2010-05-05,"B","Southern California","6","PUBLIC","1","7","12",3600,"P",0.133,"0","Science","EXISTING",15,19,2141,"1",2010-10-06,2010-10-06,166,166,"Middle","Middle","Middle->Middle","March","Middle","High","Middle->High","S","1",0.004166667,0.789473684,4,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","HC","8","9","AZ","0","5","A",2011-03-21,2011-03-25,2010-10-22,"FIXED_NA",2230,8,2,0.667,2010-05-05,2010-08-24,2,1,2010-05-05,"","Other","4","PUBLIC","1","3","5",0,"E",0.083,"0","East Coast","EXISTING",12,13,2230,"1",2010-09-15,2010-09-15,187,187,"Middle","High","Middle->High","March","Elementary","Elementary","Other.GroupGradeType","H","0",0,0.923076923,1,"","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"300","SK","7","8","OR","0","5","A",2011-03-21,2011-03-25,2010-11-01,"FIXED_NA",1991,5,0,0.625,2010-03-19,2010-08-30,6,1,2010-03-18,"C","Pacific Northwest","7","PUBLIC","1","6","8",331,"I",0.125,"0","Science","NEW",8,9,1991,"1",2010-09-22,2010-09-22,180,180,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","S","0",0.024169184,0.888888889,1,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"301","HD","5","5","CA","0","5","A",2011-03-21,2011-03-25,2010-12-10,"FR",2046,2,6,0.5,2010-02-18,2010-08-27,8,1,2010-02-18,"C","Southern California","4","PUBLIC","1","K","5",815,"K",0,"0","East Coast","EXISTING",4,5,2046,"1",2010-08-19,2010-08-19,214,214,"Elementary","Elementary","Elementary->Elementary","March","K","Elementary","K->Elementary","H","1",0.004907975,0.8,1,"L","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","HD","8","8","CA","1","5","A",2011-03-21,2011-03-25,2010-11-09,"CP",2038,30,7,0.833,2009-05-28,2009-08-25,7,2,2009-05-28,"","Northern California","10","Catholic","0","PK","8",201,"O",0.222,"0","East Coast","EXISTING",36,38,2038,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","1",0.179104478,0.947368421,2,"S","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"303","CD","8","9","OR","1","5","A",2011-03-21,2011-03-25,2010-10-15,"FIXED_NA",1995,7,0,0.5,2010-04-02,2010-08-09,1,2,2010-04-02,"","Pacific Northwest","10","CHD","1","PK","12",243,"K",0.143,"0","East Coast","NEW",14,16,1995,"2",2010-05-18,2010-09-28,307,174,"Middle","High","Middle->High","March","PK","High","PK->High","C","0",0.057613169,0.875,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"304","CD","8","8","TX","0","5","A",2011-03-21,2011-03-25,2010-09-30,"FIXED_NA",1785,9,3,1,2010-02-18,2010-08-11,3,1,2010-02-18,"","Houston","10","Catholic","1","PK","8",220,"P",0.333,"0","East Coast","EXISTING",9,10,1785,"1",2010-09-16,2010-09-16,186,186,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","C","1",0.040909091,0.9,1,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"305","HD","8","8","CA","0","5","A",2011-03-21,2011-03-25,2010-11-01,"FIXED_NA",1995,27,5,0.794,2010-05-17,2010-08-31,4,2,2010-05-15,"","Southern California","5","Catholic","0","PK","8",375,"Q",0.235,"0","East Coast","NEW",34,36,1995,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","1",0.090666667,0.944444444,2,"S-M","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"306","HD","5","6","CA","1","5","A",2011-03-21,2011-03-25,2010-11-19,"FIXED_NA",1999,2,3,0.25,1900-01-01,2010-09-16,5,1,2010-09-09,"C","Southern California","4","PUBLIC","1","K","6",680,"K",0,"0","East Coast","NEW",8,9,1999,"1",2010-09-30,2010-09-30,172,172,"Elementary","Middle","Elementary->Middle","March","K","Middle","K->Middle","H","0",0.011764706,0.888888889,1,"M-L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"307","HD","5","5","LA","0","5","A",2011-03-21,2011-03-25,2010-12-30,"SA",1978,0,0,0,1900-01-01,2010-09-23,0,2,2010-09-23,"","Other","4","Private non-Christian","1","PK","5",160,"E",0,"0","East Coast","NEW",12,14,1978,"1",2010-10-07,2010-10-07,165,165,"Elementary","Elementary","Elementary->Elementary","March","PK","Elementary","PK->Elementary","H","1",0.075,0.857142857,2,"S","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"308","HD","7","8","WI","1","3","B",2011-03-21,2011-03-25,2010-10-31,"FR",799,13,0,0.394,1900-01-01,2010-09-30,2,3,2010-10-01,"","Other","10","Catholic","1","PK","8",285,"O",0.303,"0","East Coast","NEW",33,36,799,"1",2010-10-18,2010-10-18,154,154,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","0",0.115789474,0.916666667,3,"S","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"309","SK","9","12","AZ","0","5","A",2011-03-21,2011-03-25,2010-12-31,"CP",2132,3,0,0.6,1900-01-01,1900-01-01,0,1,1900-01-01,"B","Other","Other.CRM.Segment","PUBLIC","0","9","12",1853,"N",0.2,"0","Science","EXISTING",5,6,2132,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","March","High","High","High->High","S","0",0.002698327,0.833333333,1,"L","0","0","0","0","1","1","Other.Initial.System.Date_surrogate","0","0","0","1","1","1","1","0"
"310","HC","8","8","CA","0","6","A",2011-03-21,2011-03-26,2010-09-30,"FIXED_NA",2316,30,6,0.4,2010-03-12,2010-08-10,6,11,2010-02-17,"B","Southern California","5","PUBLIC","1","7","8",801,"P",0.2,"0","East Coast","EXISTING",75,86,2316,"1",2010-08-17,2010-08-17,216,216,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.093632959,0.872093023,11,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"311","HC","8","8","OR","0","5","A",2011-03-21,2011-03-26,2010-10-22,"FIXED_NA",2049,17,5,0.708,2010-01-28,2010-08-11,8,3,2010-01-28,"C","Pacific Northwest","10","PUBLIC","1","6","8",439,"E",0.292,"0","East Coast","EXISTING",24,27,2049,"1",2010-10-05,2010-10-05,167,167,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.054669704,0.888888889,3,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"312","HS","4","5","CA","1","1","A",2011-03-22,2011-03-22,2010-10-09,"FIXED_NA",395,12,0,0.188,1900-01-01,2010-08-17,5,2,2010-07-27,"B","Southern California","4","PUBLIC","1","K","6",530,"Q",0.063,"1","CA History","EXISTING",64,66,395,"2",2010-09-09,2010-09-21,194,182,"Elementary","Elementary","Elementary->Elementary","March","K","Middle","K->Middle","H","0",0.120754717,0.96969697,2,"S-M","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"313","HD","8","8","FL","0","3","A",2011-03-22,2011-03-24,2010-11-15,"FIXED_NA",965,30,10,0.476,2010-02-01,2010-08-06,19,6,2010-01-27,"B","Other","10","CHD","1","6","8",0,"K",0.095,"0","East Coast","EXISTING",63,69,965,"1",2010-09-16,2010-09-16,187,187,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0,0.913043478,6,"","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1"
"314","HS","4","4","CA","0","3","A",2011-03-22,2011-03-24,2010-10-20,"FIXED_NA",855,15,2,0.682,2010-06-09,2010-09-24,5,0,2010-06-10,"","Southern California","5","CHD","0","K","8",261,"Q",0.409,"0","CA History","NEW",22,22,855,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","March","K","Middle","K->Middle","H","1",0.084291188,1,0,"S","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"315","HD","8","8","KS","0","4","A",2011-03-22,2011-03-25,2010-10-15,"FIXED_NA",1505,5,2,0.714,1900-01-01,2010-08-13,2,1,2010-04-14,"B","Other","5","PUBLIC","0","7","8",944,"N",0.286,"0","East Coast","EXISTING",7,8,1505,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.007415254,0.875,1,"L","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"316","HD","7","8","IN","1","3","A",2011-03-22,2011-03-25,2010-10-01,"FIXED_NA",1295,15,1,0.652,2010-03-26,2010-08-20,3,2,2010-03-23,"C","Other","10","PUBLIC","1","6","8",633,"E",0.174,"0","East Coast","NEW",23,25,1295,"1",2010-08-31,2010-08-31,203,203,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.036334913,0.92,2,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"317","HD","7","8","FL","0","4","A",2011-03-22,2011-03-25,2010-11-01,"FIXED_NA",1471,14,3,0.778,2010-03-23,2010-08-11,7,2,2010-03-18,"B","Other","10","PUBLIC","1","6","8",517,"J",0.111,"0","East Coast","EXISTING",18,20,1471,"1",2010-08-31,2010-08-31,203,203,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.034816248,0.9,2,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"318","HD","8","8","AZ","0","4","A",2011-03-22,2011-03-26,2010-06-01,"FIXED_NA",1844,28,5,0.718,2010-02-04,2010-08-16,6,5,2010-02-04,"B","Other","10","PUBLIC","1","7","8",884,"O",0.18,"1","East Coast","EXISTING",39,44,1844,"1",2010-04-29,2010-04-29,327,327,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.044117647,0.886363636,5,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"319","HD","7","8","CA","0","5","A",2011-03-22,2011-03-26,2010-11-01,"FIXED_NA",2099,13,0,0.867,2010-03-04,2010-08-30,1,2,2010-03-04,"","Northern California","10","Private non-Christian","1","PK","8",150,"G",0.2,"0","East Coast","NEW",15,17,2099,"2",2010-03-18,2010-10-05,369,168,"Middle","Middle","Middle->Middle","March","PK","Middle","PK->Middle","H","0",0.1,0.882352941,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"320","HD","8","12","CO","0","5","A",2011-03-22,2011-03-26,2010-11-15,"FIXED_NA",1777,15,6,0.714,2010-03-12,2010-09-03,7,2,2010-03-14,"C","Other","10","PUBLIC","1","6","8",200,"K",0.333,"0","East Coast","NEW",21,23,1777,"2",2010-04-06,2010-10-19,350,154,"Middle","High","Middle->High","March","Middle","Middle","Middle->Middle","H","0",0.105,0.913043478,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"321","HD","11","11","MI","0","6","B",2011-03-22,2011-03-27,2010-10-19,"SA",837,0,0,0,1900-01-01,2010-09-08,0,5,2010-05-14,"B","Other","8","PUBLIC","0","9","12",960,"I",0,"0","East Coast","EXISTING",45,50,837,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","March","High","High","High->High","H","1",0.046875,0.9,5,"L","1","0","0","0","1","0","0","0","0","0","1","1","1","1","0"
"322","HD","7","8","AZ","0","5","A",2011-03-22,2011-03-27,2010-10-01,"FIXED_NA",2078,17,12,0.472,2010-04-13,2010-08-23,15,5,2010-04-07,"B","Other","10","PUBLIC","1","7","8",746,"O",0.028,"0","East Coast","EXISTING",36,41,2078,"1",2010-09-01,2010-09-01,202,202,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","0",0.048257373,0.87804878,5,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"323","HN","9","12","IL","0","4","B",2011-03-22,2011-03-27,2010-10-29,"FIXED_NA",1499,10,2,0.476,1900-01-01,2010-09-30,5,1,2010-09-30,"B","Other","8","PUBLIC","1","9","12",1138,"A",0,"0","East Coast","NEW",21,22,1499,"1",2010-10-19,2010-10-19,154,154,"High","High","High->High","March","High","High","High->High","H","0",0.018453427,0.954545455,1,"L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"324","HS","4","4","CA","0","2","A",2011-03-23,2011-03-24,2010-10-15,"FIXED_NA",584,10,32,0.256,2010-04-20,2010-08-30,5,2,2010-04-17,"","Southern California","4","CHD","1","PK","Other.MDR.High.Grade",640,"Q",1.205,"1","CA History","EXISTING",39,41,584,"1",2010-09-14,2010-09-14,190,190,"Elementary","Elementary","Elementary->Elementary","March","PK","Elementary","PK->Elementary","H","1",0.0609375,0.951219512,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"325","HS","4","4","CA","0","2","A",2011-03-23,2011-03-24,2010-10-15,"FIXED_NA",584,10,0,0.244,1900-01-01,2010-08-30,0,2,2010-04-17,"","Southern California","4","CHD","1","PK","Other.MDR.High.Grade",640,"Q",0.366,"1","CA History","EXISTING",41,43,584,"1",2010-09-14,2010-09-14,190,190,"Elementary","Elementary","Elementary->Elementary","March","PK","Elementary","PK->Elementary","H","1",0.0640625,0.953488372,2,"M-L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"326","HS","4","4","CA","0","2","A",2011-03-23,2011-03-24,2010-10-15,"FIXED_NA",584,11,1,0.244,1900-01-01,2010-08-30,1,2,2010-04-17,"","Southern California","4","CHD","1","PK","Other.MDR.High.Grade",640,"Q",0.089,"1","CA History","EXISTING",45,47,584,"1",2010-09-14,2010-09-14,190,190,"Elementary","Elementary","Elementary->Elementary","March","PK","Elementary","PK->Elementary","H","1",0.0703125,0.957446809,2,"M-L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"327","HS","4","4","CA","0","2","A",2011-03-23,2011-03-24,2010-10-15,"FIXED_NA",584,10,1,0.263,1900-01-01,2010-08-30,3,2,2010-08-17,"","Southern California","4","CHD","1","PK","Other.MDR.High.Grade",640,"Q",0.368,"1","CA History","EXISTING",38,40,584,"1",2010-09-14,2010-09-14,190,190,"Elementary","Elementary","Elementary->Elementary","March","PK","Elementary","PK->Elementary","H","1",0.059375,0.95,2,"M-L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"328","HD","FIXED_NA","FIXED_NA","WI","0","3","A",2011-03-23,2011-03-25,2010-10-29,"FIXED_NA",1090,50,4,0.562,2010-04-01,2010-08-20,1,17,2010-04-01,"A","Other","10","PUBLIC","1","5","8",402,"P",0.225,"0","East Coast","EXISTING",89,106,1090,"2",2010-09-01,2010-09-23,203,181,"Undefined","Undefined","Undefined->Undefined","March","Elementary","Middle","Elementary->Middle","H","0",0.221393035,0.839622642,17,"S-M","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"329","HD","8","8","WI","0","3","A",2011-03-23,2011-03-26,2010-10-15,"FIXED_NA",1268,57,6,0.655,2010-03-08,2010-08-26,5,8,2010-03-06,"A","Other","10","PUBLIC","1","6","8",750,"P",0.287,"0","East Coast","EXISTING",87,95,1268,"1",2010-09-22,2010-09-22,182,182,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.116,0.915789474,8,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"330","HD","8","8","IA","0","5","A",2011-03-23,2011-03-27,2010-10-19,"FR",1499,27,4,0.482,2010-04-29,2010-09-01,6,6,2010-04-20,"B","Other","10","PUBLIC","1","5","8",550,"J",0.161,"0","East Coast","EXISTING",56,62,1499,"1",2010-09-09,2010-09-09,195,195,"Middle","Middle","Middle->Middle","March","Elementary","Middle","Elementary->Middle","H","1",0.101818182,0.903225806,6,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"331","HD","8","8","OH","0","5","B",2011-03-23,2011-03-27,2011-01-14,"FR",680,33,2,0.569,2010-04-13,2010-08-11,5,4,2010-01-29,"A","Other","10","PUBLIC","1","6","8",376,"O",0.138,"1","East Coast","EXISTING",58,62,680,"1",2010-10-06,2010-10-06,168,168,"Middle","Middle","Middle->Middle","March","Middle","Middle","Middle->Middle","H","1",0.154255319,0.935483871,4,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"332","HS","4","4","CA","0","1","A",2011-03-24,2011-03-24,2010-10-29,"FIXED_NA",385,40,6,0.769,2010-02-25,2010-08-25,7,2,2010-02-19,"","Southern California","5","CHD","1","PK","12",798,"K",0.096,"1","CA History","EXISTING",52,54,385,"1",2010-10-12,2010-10-12,163,163,"Elementary","Elementary","Elementary->Elementary","March","PK","High","PK->High","H","1",0.065162907,0.962962963,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"333","HS","4","4","CA","0","1","A",2011-03-24,2011-03-24,2010-11-05,"FIXED_NA",375,17,2,0.315,1900-01-01,2010-09-21,5,2,2010-09-17,"B","Southern California","4","PUBLIC","1","K","6",519,"Q",0.204,"0","CA History","NEW",54,56,375,"1",2010-10-13,2010-10-13,162,162,"Elementary","Elementary","Elementary->Elementary","March","K","Middle","K->Middle","H","1",0.104046243,0.964285714,2,"S-M","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
